researcher,follows,follows_display_name
viv_boop,chrmanning,Christopher Manning
viv_boop,rsalakhu,Russ Salakhutdinov
viv_boop,kieranklaassen,Kieran Klaassen
viv_boop,jenny_wen,jenny wen
viv_boop,mooohul,Mehul Raheja
viv_boop,davidsenra,David Senra
viv_boop,sundarpichai,Sundar Pichai
viv_boop,skeptrune,Nick Khami
viv_boop,CherrilynnZ,lele
viv_boop,yakuzeg,Yaku Zeg
viv_boop,MattMahanSJ,Mayor Matt Mahan
viv_boop,cowtwting,C O W
viv_boop,thisisgrantlee,Grant Lee
viv_boop,Quartr_App,Quartr
viv_boop,naveedlol,naveed
viv_boop,ManiarNatasha,Natasha Maniar
viv_boop,minafahmi,Mina Fahmi
viv_boop,sandbar,Sandbar
viv_boop,asteriskmgzn,Asterisk
bohannon_bot,paranirmal9,Nirmal B
bohannon_bot,ylecun,Yann LeCun
bohannon_bot,hardmaru,hardmaru
bohannon_bot,fchollet,François Chollet
bohannon_bot,mervenoyann,merve
bohannon_bot,_akhaliq,AK
bohannon_bot,paulg,Paul Graham
bohannon_bot,yoavgo,(((ل()(ل() 'yoav))))
bohannon_bot,jeremyphoward,Jeremy Howard
bohannon_bot,nathanbenaich,Nathan Benaich
bohannon_bot,Thom_Wolf,Thomas Wolf
bohannon_bot,ClementDelangue,clem 
bohannon_bot,DrJimFan,Jim Fan
bohannon_bot,omarsar0,elvis
bohannon_bot,sarahookr,Sara Hooker
bohannon_bot,iamaheron_,heron
bohannon_bot,JainRohan16,Rohan Jain
bohannon_bot,xjiuhong,Jiuhong Xiao
bohannon_bot,jonas_eschmann,Jonas Eschmann
bohannon_bot,boxcardavid,David Hansen 
bohannon_bot,siruihua,Sirui Hua 华思睿
bohannon_bot,racheleizner,Rachel Eizner
bohannon_bot,chrmanning,Christopher Manning
bohannon_bot,noahedelman02,Noah Edelman
bohannon_bot,maxhodak_,Max Hodak
bohannon_bot,jasoneshraghian,Jason Eshraghian
bohannon_bot,pzakin,Peter Zakin
bohannon_bot,GabeLenz,Gabriel S. Lenz
bohannon_bot,yaroslavvb,Yaroslav Bulatov
bohannon_bot,AlexiGlad,Alexi Gladstone
bohannon_bot,UriShimron,UriShimron
bohannon_bot,kennethpayne01,Kenneth Payne
bohannon_bot,B_AllouiCros,Baptiste Alloui-Cros
bohannon_bot,turingmusician,Jonathan Bragg
bohannon_bot,alexwg,Dr. Alex Wissner-Gross
bohannon_bot,wjqdev,Jiaqi Wang
bohannon_bot,DaniLowenberg,Daniella Lowenberg
bohannon_bot,verokiermer,Veronique Kiermer
bohannon_bot,chesaboudin,Chesa Boudin
bohannon_bot,Atul_Gawande,Atul Gawande
bohannon_bot,Diyi_Yang,Diyi Yang
sjgadler,hardmaru,hardmaru
sjgadler,goodside,Riley Goodside
sjgadler,Miles_Brundage,Miles Brundage
sjgadler,ylecun,Yann LeCun
sjgadler,paulg,Paul Graham
sjgadler,BorisMPower,Boris Power
sjgadler,RichardMCNgo,Richard Ngo
sjgadler,woj_zaremba,Wojciech Zaremba
sjgadler,AnthropicAI,Anthropic
sjgadler,GoogleDeepMind,Google DeepMind
sjgadler,janleike,Jan Leike
sjgadler,waitbutwhy,Tim Urban
sjgadler,miramurati,Mira Murati
sjgadler,levelsio,@levelsio
sjgadler,ESYudkowsky,Eliezer Yudkowsky 
sjgadler,npew,Peter Welinder
sjgadler,sharifshameem,Sharif Shameem
sjgadler,arankomatsuzaki,Aran Komatsuzaki
sjgadler,jachiam0,Joshua Achiam
sjgadler,Scobleizer,Robert Scoble
sjgadler,marcusabramovi1,Marcus Abramovitch
sjgadler,dpkingma,Durk Kingma
sjgadler,chrmanning,Christopher Manning
sjgadler,noahedelman02,Noah Edelman
sjgadler,lacker,Kevin Lacker
sjgadler,AndrewCurran_,Andrew Curran
sjgadler,NatPurser,Nat Purser
sjgadler,michaelhpage,page
sjgadler,bb_fresh,Ben Burke
sjgadler,thlarsen,Thomas Larsen
sjgadler,dhruvtkpatel,Dhruv Patel
sjgadler,nrmarda,Nik Marda
sjgadler,bstein80,Brendan Steinhauser
sjgadler,dylhunn,Dylan Hunn
sjgadler,g_leech_,gavin leech (Non-Reasoning)
sjgadler,haydenfield,Hayden Field
sjgadler,calebwatney,Caleb Watney
sjgadler,testingham,tom cunningham
sjgadler,John_Stepek,John Stepek
sjgadler,AvitalBalwit,Avital Balwit
sjgadler,johnjhorton,John Horton
jam3scampbell,ESYudkowsky,Eliezer Yudkowsky 
jam3scampbell,goth600,@goth
jam3scampbell,goodside,Riley Goodside
jam3scampbell,typedfemale,typedfemale
jam3scampbell,yacineMTB,kache
jam3scampbell,nearcyan,near
jam3scampbell,beffjezos,Beff (e/acc)
jam3scampbell,mealreplacer,Julian
jam3scampbell,deepfates,
jam3scampbell,RichardMCNgo,Richard Ngo
jam3scampbell,nickcammarata,Nick
jam3scampbell,EigenGender,EigenGender 
jam3scampbell,SmokeAwayyy,Smoke-away
jam3scampbell,MichaelTrazzi,Michaël Trazzi
jam3scampbell,ctjlewis,Lewis
jam3scampbell,robinhanson,Robin Hanson
jam3scampbell,10x_er,10x Engineer
jam3scampbell,BenHayum,Ben Hayum
jam3scampbell,thecaptain_nemo,Nemo
jam3scampbell,algekalipso,"Captain Pleasure, Andrés Gómez Emilsson"
jam3scampbell,pawtrammell,Philip Trammell
jam3scampbell,KarelDoostrlnck,Karel
jam3scampbell,SleeperJets,SleeperJets
jam3scampbell,ctindale,Craig Tindale
jam3scampbell,JeffDean,Jeff Dean
jam3scampbell,thedowd,Matthew Dowd
jam3scampbell,kellerjordan0,Keller Jordan
jam3scampbell,deredleritt3r,prinz
jam3scampbell,sjgadler,Steven Adler
jam3scampbell,hnrylvy,Henry Levy
jam3scampbell,MilesMcCain,Miles McCain and 309 others
jam3scampbell,btibor91,Tibor Blaho
jam3scampbell,jakepaul,Jake Paul
jam3scampbell,jasminewsun,jasmine sun
jam3scampbell,bzhang0,ben
jam3scampbell,enggirlfriend,Engineer Girlfriend
jam3scampbell,aka_suje,suje
jam3scampbell,asher5772,Asher
jam3scampbell,adamhfry,Adam Fry
jam3scampbell,mlib16,Mike Liberatore
jam3scampbell,gradascetic,edward
jam3scampbell,anushabalak,Anusha Bala
karpathy,ylecun,Yann LeCun
karpathy,fchollet,François Chollet
karpathy,hardmaru,hardmaru
karpathy,_akhaliq,AK
karpathy,rasbt,Sebastian Raschka
karpathy,AIatMeta,AI at Meta
karpathy,soumithchintala,Soumith Chintala
karpathy,PyTorch,PyTorch
karpathy,jeremyphoward,Jeremy Howard
karpathy,arankomatsuzaki,Aran Komatsuzaki
karpathy,ykilcher,Yannic Kilcher 
karpathy,giffmana,Lucas Beyer (bl16)
karpathy,woj_zaremba,Wojciech Zaremba
karpathy,huggingface,Hugging Face
karpathy,ericjang11,Eric Jang
karpathy,ivanhzhao,Ivan Zhao
karpathy,mitchellh,Mitchell Hashimoto
karpathy,steipete,Peter Steinberger
karpathy,adocomplete,Ado
karpathy,bcherny,Boris Cherny
